attack,psnr_c,psnr_s,result
Gaussian_s1,25.22535618363911,4.356637912271389,FAIL
Gaussian_s10,25.22535618363911,4.356330161388006,FAIL
JPEG_q90,25.22535618363911,4.359778429496367,FAIL
JPEG_q80,25.22535618363911,4.361116884541184,FAIL
Round,25.22535618363911,4.356300869722666,FAIL
