attack,psnr_c,psnr_s,result
Gaussian_s1,29.915084099710604,18.610386965116493,PASS
Gaussian_s10,29.915084099710604,18.60992509891902,PASS
JPEG_q90,29.915084099710604,18.53247793462908,PASS
JPEG_q80,29.915084099710604,18.465121336791924,PASS
Round,29.915084099710604,18.59545188293175,PASS
