lambda_c,lambda_s,PSNR-C,PSNR-S,Combined
0.3,1.7,19.975164017127994,5.3906628012897455,25.36582681841774
0.5,1.5,22.019479352312725,4.774115133029741,26.793594485342467
0.7,1.3,24.518644307138242,4.240918170014233,28.759562477152475
1.0,1.0,27.71865571401755,4.2888542030902626,32.00750991710781
1.3,0.7,30.866463807644397,3.79038280283028,34.65684661047468
1.5,0.5,33.17870498495794,3.4945875150889973,36.673292500046934
1.7,0.3,35.1116476288485,3.1620073897843004,38.2736550186328
