lambda_c,lambda_s,PSNR-C,PSNR-S,Combined
0.3,1.7,42.938880920410156,10.536102056503296,53.47498297691345
0.5,1.5,42.952046394348145,10.501899719238281,53.453946113586426
0.7,1.3,42.918336391448975,10.540730953216553,53.45906734466553
1.0,1.0,42.93501377105713,10.530650019645691,53.46566379070282
1.3,0.7,42.945990562438965,10.52930474281311,53.475295305252075
1.5,0.5,42.95154333114624,10.520256757736206,53.471800088882446
1.7,0.3,42.97860622406006,10.538922548294067,53.517528772354126
