Secret Type,PSNR-C,PSNR-S,SSIM
Noise,42.36884117126465,6.785411834716797,0.0049559674225747585
Text,33.94486665725708,13.408933877944946,0.1379205286502838
Logo,34.01242256164551,10.933254957199097,0.06221931800246239
Natural,42.634010314941406,7.3540884256362915,0.030863570049405098
